Fakultät,Code,Id,Kanton,Einwohner,Jahr,Semester,Immatrikulationen
Philosophie I,BS,12,Basel-Stadt,194766,2006,HS,86
Philosophie I,ZH,1,Zürich,1520968,2006,HS,19
Philosophie I,BE,2,Bern,1034977,2006,HS,32
Philosophie I,LU,3,Luzern,409557,2006,HS,31
Philosophie I,UR,4,Uri,36433,2006,HS,1
Philosophie I,SZ,5,Schwyz,159165,2006,HS,4
Philosophie I,OW,6,Obwalden,37841,2006,HS,2
Philosophie I,GL,8,Glarus,40403,2006,HS,0
Philosophie I,ZG,9,Zug,126837,2006,HS,3
Philosophie I,FR,10,Freiburg,318714,2006,HS,4
Philosophie I,SO,11,Solothurn,273194,2006,HS,38
Philosophie I,BL,13,Basel-Landschaft,288132,2006,HS,96
Philosophie I,SH,14,Schaffhausen,81991,2006,HS,4
Philosophie I,AI,16,Appenzell Innerrhoden,16145,2006,HS,2
Philosophie I,SG,17,St. Gallen,507697,2006,HS,18
Philosophie I,GR,18,Graubünden,198379,2006,HS,10
Philosophie I,AG,19,Aargau,677387,2006,HS,56
Philosophie I,TG,20,Thurgau,276472,2006,HS,8
Philosophie I,TI,21,Tessin,353343,2006,HS,6
Philosophie I,VD,22,Waadt,799145,2006,HS,1
Philosophie I,VS,23,Wallis,343955,2006,HS,3
Philosophie I,NE,24,Neuenburg,176850,2006,HS,0
Philosophie I,GE,25,Genf,499480,2006,HS,0
Philosophie I,JU,26,Jura,73419,2006,HS,0
Psychologie,BS,12,Basel-Stadt,194766,2006,HS,48
Psychologie,ZH,1,Zürich,1520968,2006,HS,9
Psychologie,BE,2,Bern,1034977,2006,HS,8
Psychologie,LU,3,Luzern,409557,2006,HS,14
Psychologie,UR,4,Uri,36433,2006,HS,1
Psychologie,SZ,5,Schwyz,159165,2006,HS,1
Psychologie,OW,6,Obwalden,37841,2006,HS,0.5
Psychologie,GL,8,Glarus,40403,2006,HS,0
Psychologie,ZG,9,Zug,126837,2006,HS,1
Psychologie,FR,10,Freiburg,318714,2006,HS,2
Psychologie,SO,11,Solothurn,273194,2006,HS,12
Psychologie,BL,13,Basel-Landschaft,288132,2006,HS,53
Psychologie,SH,14,Schaffhausen,81991,2006,HS,1
Psychologie,AI,16,Appenzell Innerrhoden,16145,2006,HS,1.5
Psychologie,SG,17,St. Gallen,507697,2006,HS,8
Psychologie,GR,18,Graubünden,198379,2006,HS,4
Psychologie,AG,19,Aargau,677387,2006,HS,25
Psychologie,TG,20,Thurgau,276472,2006,HS,3
Psychologie,TI,21,Tessin,353343,2006,HS,2
